symbol,yf_symbol,company,sector,marketCap,trailingPE,beta,vol_30d,ret_1m,total_esg,environment_score,social_score,governance_score,source,imputed,label_note
20MICRONS.NS,20MICRONS.NS,20 Microns Limited,Basic Materials,7424477696.0,12.025847,0.621,0.015430036618152463,-0.0708706908681963,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Basic Materials)
21STCENMGM.NS,21STCENMGM.NS,Twentyfirst Century Management Services Limited,Financial Services,485258848.0,,0.521,0.01081456480322454,-0.12334290611044152,45.0,40.0,45.0,50.0,sector_proxy,True,imputed_from_sector(Financial Services)
360ONE.NS,360ONE.NS,360 One Wam Limited,Financial Services,474625179648.0,42.333817,0.343,0.014524351098774181,0.14646323923094617,65.0,60.0,65.0,70.0,sector_proxy,True,imputed_from_sector(Financial Services)
3IINFOLTD.NS,3IINFOLTD.NS,3i Infotech Limited,Technology,3494000128.0,8.862069,0.141,0.024354642824554264,-0.09044845068368912,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Technology)
3MINDIA.NS,3MINDIA.NS,3M India Limited,Industrials,332826509312.0,66.96206,0.067,0.009830291838738282,0.021611341632088443,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Industrials)
3PLAND.NS,3PLAND.NS,3P Land Holdings Ltd,,,,,0.015538120347870936,-0.05006642339590883,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Other)
5PAISA.NS,5PAISA.NS,5paisa Capital Limited,Financial Services,9890374656.0,20.925314,0.175,0.01317409596897696,-0.11366182731254804,55.0,50.0,55.0,60.0,sector_proxy,True,imputed_from_sector(Financial Services)
63MOONS.NS,63MOONS.NS,63 moons technologies limited,Technology,36657352704.0,153.40425,0.56,0.014312576046660853,-0.10867612220009448,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Technology)
A2ZINFRA.NS,A2ZINFRA.NS,A2Z Infra Engineering Limited,Industrials,2907738880.0,30.01818,0.183,0.023930124552053022,-0.07662186779577163,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AAATECH.NS,AAATECH.NS,AAA Technologies Limited,Technology,1160184064.0,32.890907,0.16,0.0665528622718749,0.15120271477104974,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Technology)
AADHARHFC.NS,AADHARHFC.NS,AADHAR HOUSING FINANCE L,Financial Services,221743480832.0,23.736671,,0.014985846963433904,-0.02809413085784873,65.0,60.0,65.0,70.0,sector_proxy,True,imputed_from_sector(Financial Services)
AAKASH.NS,AAKASH.NS,Aakash Exploration Services Limited,Energy,916312512.0,Infinity,-0.116,0.010652379773379038,-0.08678099595549704,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Energy)
AAREYDRUGS.NS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,2588464384.0,62.10204,0.522,0.0204166208198354,0.20610381782187792,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Healthcare)
AARON.NS,AARON.NS,Aaron Industries Limited,Industrials,4577224704.0,61.728817,0.227,0.028810567162128212,0.1348740628880818,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AARTECH.NS,AARTECH.NS,Aartech Solonics Limited,Industrials,1880819072.0,79.4054,0.534,0.030246091611569124,0.07363418258731835,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AARTIDRUGS.NS,AARTIDRUGS.NS,Aarti Drugs Limited,Healthcare,43909996544.0,23.320408,0.16,0.01946375817162993,-0.0512719378565587,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Healthcare)
AARTIIND.NS,AARTIIND.NS,Aarti Industries Limited,Basic Materials,137024217088.0,57.782875,0.505,0.008437980826262249,-0.006572029548140068,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AARTIPHARM.NS,AARTIPHARM.NS,Aarti Pharmalabs Limited,Healthcare,76415672320.0,28.732105,-0.536,0.01698809973458255,-0.00035573081621154135,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Healthcare)
AARTISURF.NS,AARTISURF.NS,Aarti Surfactants Limited,Basic Materials,3991867392.0,25.894737,0.972,0.01709746756407808,-0.010689000275300953,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AARVI.NS,AARVI.NS,Aarvi Encon Limited,Industrials,1783208320.0,15.416134,-0.059,0.01441535569019307,-0.03028352146688873,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AAVAS.NS,AAVAS.NS,Aavas Financiers Limited,Financial Services,131670245376.0,22.650143,0.41,0.014865976975537008,0.021245226639211356,65.0,60.0,65.0,70.0,sector_proxy,True,imputed_from_sector(Financial Services)
ABAN.NS,ABAN.NS,Aban Offshore Limited,Energy,2381305088.0,,-0.019,0.018862974602185785,-0.05358388635087008,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Energy)
ABB.NS,ABB.NS,ABB India Limited,Industrials,1096731787264.0,60.988686,0.627,0.008607914786010187,-0.004845538940163041,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Industrials)
ABBOTINDIA.NS,ABBOTINDIA.NS,Abbott India Limited,Healthcare,632824397824.0,43.47826,0.027,0.00782518456738743,-0.014075178009604228,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Healthcare)
ABCAPITAL.NS,ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,816737222656.0,24.12037,0.802,0.015871039787515178,0.09109949774351,65.0,60.0,65.0,70.0,sector_proxy,True,imputed_from_sector(Financial Services)
ABCOTS.NS,ABCOTS.NS,A B COTSPIN INDIA LIMITED,Consumer Cyclical,9275236352.0,51.43727,-0.351,0.038722667156714845,-0.048230840264383845,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
ABDL.NS,ABDL.NS,ALLIED BLEND N DISTILS L,Consumer Defensive,171154636800.0,69.45516,,0.022673682155819292,0.16875186454216995,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Consumer Defensive)
ABFRL.NS,ABFRL.NS,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,102368354304.0,,-0.321,0.01969603496645129,-0.03596380113905262,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
ABINFRA.NS,ABINFRA.NS,A B INFRABUILD LIMITED,Industrials,11632354304.0,45.524998,0.418,0.02083982233638874,-0.024638510441431172,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Industrials)
ABLBL.NS,ABLBL.NS,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,165998182400.0,,,0.02354758877644438,0.005678916537043666,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
ABMINTLLTD.NS,ABMINTLLTD.NS,ABM International Limited,Basic Materials,481783680.0,,-0.035,0.04562179574904082,0.24780696739939723,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ABREL.NS,ABREL.NS,Aditya Birla Real Estate Limited,Basic Materials,187328774144.0,,0.353,0.021875918115358144,-0.048672357753105855,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ABSLAMC.NS,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,233808986112.0,24.132896,0.233,0.01659900657192573,0.007965182842641472,65.0,60.0,65.0,70.0,sector_proxy,True,imputed_from_sector(Financial Services)
ACC.NS,ACC.NS,ACC Limited,Basic Materials,349415768064.0,14.498208,0.043,0.0075221422049704025,0.0049146552743164484,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ACCELYA.NS,ACCELYA.NS,Accelya Solutions India Limited,Technology,20682465280.0,16.001158,0.385,0.013698965321057788,-0.07011288549983385,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Technology)
ACCURACY.NS,ACCURACY.NS,Accuracy Shipping Limited,Industrials,1010257600.0,37.277775,-0.451,0.012929659749053947,-0.06805552556926742,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
ACE.NS,ACE.NS,Action Construction Equipment Limited,Industrials,128857751552.0,30.464264,0.646,0.012778273687840921,-0.02809699176671898,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Industrials)
ACEINTEG.NS,ACEINTEG.NS,Ace Integrated Solutions Limited,Industrials,242556000.0,,-0.292,0.02828958295633809,-0.05447311939024302,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
ACI.NS,ACI.NS,Archean Chemical Industries Limited,Basic Materials,79944105984.0,50.8,0.419,0.012816614237461785,-0.08413461393236166,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ACL.NS,ACL.NS,Andhra Cements Limited,Basic Materials,6748041216.0,,0.261,0.022182369626107243,-0.191217658079189,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ACLGATI.NS,ACLGATI.NS,Allcargo Gati Limited,Industrials,8709775360.0,51.938595,0.507,0.019163117974259136,0.012136736486711985,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Industrials)
ACMESOLAR.NS,ACMESOLAR.NS,ACME SOLAR HOLDINGS LTD,Utilities,170665000960.0,44.769836,,0.02174281988510013,0.004272678167615229,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Utilities)
ACUTAAS.NS,ACUTAAS.NS,Acutaas Chemicals Limited,Basic Materials,140546768896.0,62.281147,-0.115,0.025526967639235718,0.21508043742540384,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ADANIENSOL.NS,ADANIENSOL.NS,Adani Energy Solutions Limited,Utilities,1106621628416.0,48.921932,0.871,0.020982914639272106,0.030194586928443012,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Utilities)
ADANIENT.NS,ADANIENT.NS,Adani Enterprises Limited,Energy,2879334645760.0,45.90357,0.643,0.016339340948066793,-0.03182735720700991,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Energy)
ADANIGREEN.NS,ADANIGREEN.NS,Adani Green Energy Limited,Utilities,1654094299136.0,100.72217,0.948,0.02816670180871533,-0.0697976316178095,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Utilities)
ADANIPORTS.NS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,3062861135872.0,27.121271,0.422,0.010507021496207173,0.007603804443907736,12.61,3.61,3.42,5.59,yahoo,False,yahoo
ADANIPOWER.NS,ADANIPOWER.NS,Adani Power Limited,Utilities,3132213428224.0,26.014425,0.303,0.052995141661105964,0.08946309953727982,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Utilities)
ADFFOODS.NS,ADFFOODS.NS,ADF Foods Limited,Consumer Defensive,24442451968.0,35.20253,0.455,0.018211728098183083,-0.0025555136355971397,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Consumer Defensive)
ADL.NS,ADL.NS,Archidply Decor Limited,Consumer Cyclical,477295584.0,370.65216,0.249,0.021906939488823395,0.004595797629547427,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
ADOR.NS,ADOR.NS,Ador Welding Limited,Industrials,19876626432.0,42.192467,0.356,0.028502943003303253,0.1256036372068432,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Industrials)
ADROITINFO.NS,ADROITINFO.NS,Adroit Infotech Limited,Technology,667160512.0,48.583332,-0.31,0.020103512019302373,0.0766389593308534,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Technology)
ADSL.NS,ADSL.NS,Allied Digital Services Limited,Technology,10153594880.0,31.812057,0.742,0.03785076358720172,-0.02716474925877843,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Technology)
ADVANCE.NS,ADVANCE.NS,ADVANCE AGROLIFE LIMITED,Basic Materials,8816786432.0,34.373432,,0.06223512202481397,0.25968105433034094,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Basic Materials)
ADVANIHOTR.NS,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,5424228864.0,21.536766,-0.141,0.011653080896122754,0.0008543149291078134,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
ADVENZYMES.NS,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,Basic Materials,34507030528.0,25.229132,0.433,0.014043157841334641,-0.05718658167287849,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AEGISLOG.NS,AEGISLOG.NS,AEGIS LOGISTICS LIMITED,Energy,282254311424.0,42.523834,0.736,0.03416274340839071,0.037407869567898766,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Energy)
AEGISVOPAK.NS,AEGISVOPAK.NS,AEGIS VOPAK TERMINALS LTD,Energy,310126837760.0,223.92,,0.025622105094736277,0.15033694505657147,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Energy)
AEROENTER.NS,AEROENTER.NS,Aeroflex Enterprises Limited,Basic Materials,9614486528.0,12.357557,1.371,0.028150266739694743,-0.010590057708338763,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AEROFLEX.NS,AEROFLEX.NS,Aeroflex Industries Limited,Industrials,23863486464.0,50.556164,0.254,0.02103238333667864,-0.005175517200049717,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Industrials)
AERONEU.NS,AERONEU.NS,Aeroflex Neu Limited,Consumer Cyclical,2103922048.0,281.17242,0.429,0.054549069583226584,-0.1956993181632951,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AETHER.NS,AETHER.NS,Aether Industries Limited,Basic Materials,100622589952.0,57.477276,0.059,0.00770855818873358,0.02443969378580335,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AFCONS.NS,AFCONS.NS,AFCONS INFRASTRUCTURE LTD,Industrials,165024972800.0,30.987572,,0.012655365627833724,0.011610922231535037,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Industrials)
AFFLE.NS,AFFLE.NS,Affle 3i Limited,Communication Services,270084767744.0,67.2028,0.606,0.0173959663259605,-0.06821154530591789,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Communication Services)
AFFORDABLE.NS,AFFORDABLE.NS,Affordable Robotic & Automation Limited,Industrials,2904939776.0,193.21053,-0.013,0.03167456354896766,0.04693422047542395,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AFIL.NS,AFIL.NS,AKME FINTRADE (INDIA) LTD,Financial Services,3469414400.0,10.384616,,0.03581679579075586,-0.11281486528593154,45.0,40.0,45.0,50.0,sector_proxy,True,imputed_from_sector(Financial Services)
AFSL.NS,AFSL.NS,Abans Financial Services Limited,Financial Services,10182516736.0,8.695501,-0.116,0.009387953463605065,-0.03229846793678548,55.0,50.0,55.0,60.0,sector_proxy,True,imputed_from_sector(Financial Services)
AGARIND.NS,AGARIND.NS,Agarwal Industrial Corporation Limited,Basic Materials,12872673280.0,14.350508,-0.01,0.019692989513482095,-0.10661269958315767,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AGARWALEYE.NS,AGARWALEYE.NS,DR AGARWALS HEALTH CARE L,Healthcare,163090284544.0,160.20186,,0.022198240057055636,0.06514554736362266,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Healthcare)
AGI.NS,AGI.NS,AGI Greenpac Limited,Consumer Cyclical,53588484096.0,15.201139,-0.097,0.022702068498365688,-0.06502088959483987,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AGIIL.NS,AGIIL.NS,AGI Infra Limited,Real Estate,32178839552.0,44.644066,-0.572,0.055494617869586337,0.04300309217972842,50.0,45.0,50.0,55.0,sector_proxy,True,imputed_from_sector(Real Estate)
AGRITECH.NS,AGRITECH.NS,Agri-tech (India) Limited,Consumer Defensive,782654336.0,,,0.008784881804311008,-0.049144926444646186,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Defensive)
AGROPHOS.NS,AGROPHOS.NS,Agro Phos (India) Limited,Basic Materials,838334656.0,16.673386,-0.056,0.022903278375892972,-0.02407364841815207,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Basic Materials)
AGSTRA.NS,AGSTRA.NS,AGS Transact Technologies Limited,Technology,544450496.0,,-0.025,0.030249423914859026,0.07323231289379706,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Technology)
AHCL.NS,AHCL.NS,ANLON HEALTHCARE LIMITED,Healthcare,6590254592.0,32.12176,,0.040260590409753126,-0.07352614385903589,50.0,50.0,50.0,50.0,sector_proxy,True,imputed_from_sector(Healthcare)
AHLADA.NS,AHLADA.NS,Ahlada Engineers Limited,Industrials,762080576.0,20.550524,0.67,0.024164917578306872,-0.09275499762879691,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AHLEAST.NS,AHLEAST.NS,Asian Hotels (East) Limited,Consumer Cyclical,2500898048.0,21.94689,-0.605,0.014643749650790395,-0.06139263858721966,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AHLUCONT.NS,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,Industrials,61440872448.0,27.535295,0.532,0.014719929227256736,-0.07832684564380321,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Industrials)
AIAENG.NS,AIAENG.NS,AIA Engineering Limited,Industrials,310859497472.0,28.177128,0.215,0.015108858654768513,0.07489515897265253,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Industrials)
AIIL.NS,AIIL.NS,Authum Investment & Infrastructure Limited,Financial Services,510791090176.0,12.482959,-0.817,0.020701881083770003,0.0002663706992231951,65.0,60.0,65.0,70.0,sector_proxy,True,imputed_from_sector(Financial Services)
AIRAN.NS,AIRAN.NS,Airan Limited,Technology,2935469568.0,,0.724,0.017023166170501904,-0.06528667365470997,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Technology)
AIROLAM.NS,AIROLAM.NS,Airo Lam Limited,Consumer Cyclical,1552556928.0,57.494446,-0.701,0.017898566581784556,-0.04635089324450559,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
AJANTPHARM.NS,AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare,298396221440.0,32.08921,0.161,0.009123670400813633,-0.040572026979236786,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Healthcare)
AJAXENGG.NS,AJAXENGG.NS,AJAX ENGINEERING LIMITED,Industrials,69753831424.0,28.331785,,0.017563006784236997,-0.05954029972658925,60.0,60.0,60.0,60.0,sector_proxy,True,imputed_from_sector(Industrials)
AJMERA.NS,AJMERA.NS,Ajmera Realty & Infra India Limited,Real Estate,39715328000.0,28.970713,0.708,0.019670057238950142,-0.022333095957959848,50.0,45.0,50.0,55.0,sector_proxy,True,imputed_from_sector(Real Estate)
AJOONI.NS,AJOONI.NS,Ajooni Biotech Limited,Consumer Defensive,892221824.0,25.9,0.291,0.019823422042430257,-0.040740789471011896,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Defensive)
AKASH.NS,AKASH.NS,Akash Infra-Projects Limited,Industrials,479739104.0,66.16279,0.475,0.028552305986533005,-0.004896795694342315,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AKG.NS,AKG.NS,AKG Exim Limited,Industrials,439152256.0,62.81818,0.737,0.025513481039039523,0.04696968897862419,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Industrials)
AKI.NS,AKI.NS,AKI India Limited,Consumer Cyclical,889697088.0,46.499996,-0.232,0.01882843280471101,-0.1485249287363708,40.0,40.0,40.0,40.0,sector_proxy,True,imputed_from_sector(Consumer Cyclical)
